"data_i","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
22782,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-24,11,-41,-67,-58,18,39.7,31.6
23418,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-32,2,-48,-64,-28,14,41.85,32.23
22086,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-34,0,-55,-64,-11,11,40.63,32.22
21882,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-35,1,-51,-65,-15,10,38.75,31.07
21157,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,7,-44,-60,-26,11,38.45,30.24
20128,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,8,-43,-60,-28,11,39.53,31.1
20515,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,5,-43,-60,-27,11,40.15,31.13
20902,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-29,2,-45,-61,-27,11,40.51,31.28
19851,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,5,-47,-62,-26,13,44.49,33.66
20571,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,5,-53,-62,-11,9,43.57,33.88
19014,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-35,-1,-48,-66,-15,9,41.09,31.62
17491,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,4,-43,-61,-25,10,40.05,32.04
